feature,coefficient,abs_coefficient
CSNK1G2 (1455),-0.0110905472159814,0.0110905472159814
ELP2 (55250),0.01107630029278573,0.01107630029278573
RRAGC (64121),0.01103970766536053,0.01103970766536053
RASL12 (51285),0.011009048195721266,0.011009048195721266
FABP9 (646480),-0.010955988583873491,0.010955988583873491
FHIP1A (729830),0.010920560728254713,0.010920560728254713
CDRT15L2 (256223),0.010913583159969978,0.010913583159969978
OR4D2 (124538),0.010886400991601507,0.010886400991601507
EXO1 (9156),-0.010883216080050958,0.010883216080050958
SAMD7 (344658),0.010842718468876153,0.010842718468876153
GREM2 (64388),-0.010841254531253307,0.010841254531253307
SRMS (6725),0.01084112491794567,0.01084112491794567
FER1L6 (654463),0.010792293100475815,0.010792293100475815
HSD17B10 (3028),0.010788878325462353,0.010788878325462353
LARP7 (51574),-0.01078721767581775,0.01078721767581775
CA6 (765),-0.010732918647311246,0.010732918647311246
NFKBIE (4794),0.010697796917944345,0.010697796917944345
CHRNE (1145),0.010666437725863644,0.010666437725863644
EPS8L3 (79574),-0.010634107744941827,0.010634107744941827
CBX3 (11335),-0.010625002383890721,0.010625002383890721
IFT20 (90410),0.010623760858645328,0.010623760858645328
USP17L19 (100287404),-0.010605808719971152,0.010605808719971152
SSX3 (10214),0.010578297693500702,0.010578297693500702
CFP (5199),-0.010549239167346765,0.010549239167346765
XPOT (11260),0.010532653290973477,0.010532653290973477
CALML4 (91860),-0.010511876431457477,0.010511876431457477
ZNF727 (442319),0.010422984783183568,0.010422984783183568
ZNF19 (7567),-0.010418338064387796,0.010418338064387796
RTRAF (51637),0.01041578968551589,0.01041578968551589
SCUBE3 (222663),0.010331927589408358,0.010331927589408358
VEZT (55591),0.010330782155506136,0.010330782155506136
CD5L (922),-0.010272300056070252,0.010272300056070252
KLHL38 (340359),0.01025443768550183,0.01025443768550183
CCDC83 (220047),0.01023215059215297,0.01023215059215297
PDRG1 (81572),0.010230336640221969,0.010230336640221969
ADSS1 (122622),-0.01021691620788874,0.01021691620788874
AHSP (51327),-0.010181224322727537,0.010181224322727537
HGFAC (3083),-0.010172655421551423,0.010172655421551423
CRP (1401),-0.01013610529780706,0.01013610529780706
GSG1L2 (644070),-0.010120924887874807,0.010120924887874807
ST6GALNAC3 (256435),-0.010103247079061512,0.010103247079061512
AQP1 (358),-0.01009810264848803,0.01009810264848803
RGS18 (64407),-0.010079851584082438,0.010079851584082438
ADRA1B (147),0.010035578769077486,0.010035578769077486
PLXNA4 (91584),-0.010006887901604328,0.010006887901604328
SOST (50964),0.009945021556638683,0.009945021556638683
CIMIP5 (130813),0.009889445275793355,0.009889445275793355
FSTL1 (11167),0.009885646195015585,0.009885646195015585
PSPH (5723),0.009842358995798621,0.009842358995798621
TAF1C (9013),-0.009795031375609322,0.009795031375609322
JSRP1 (126306),-0.009789615621444375,0.009789615621444375
LECT2 (3950),-0.009772426732941897,0.009772426732941897
MAP1LC3C (440738),0.009769321465920569,0.009769321465920569
RLN3 (117579),-0.00968149594227087,0.00968149594227087
TMSB4Y (9087),-0.009675659475620832,0.009675659475620832
GFRA2 (2675),0.009666894832530139,0.009666894832530139
